1,6.9
2,6.9
3,6.9
4,6.9
5,6.9
6,6.9
7,6.9
8,6.9
9,6.9
10,6.9
11,6.9
12,6.9
13,6.9
14,6.9
15,6.9
16,6.9
17,6.9
18,6.9
19,6.9
20,6.9
21,6.9
22,6.9
23,6.9
24,6.9
25,6.9
26,6.9
27,6.9
28,6.9
29,6.9
30,6.9
31,6.9
32,6.9
33,6.9
34,6.9
35,6.9
36,6.9
37,6.9
38,6.9
39,6.9
40,6.9
41,6.9
42,6.9
43,6.9
44,6.9
45,6.9
46,6.9
47,6.9
48,6.9
49,6.9
50,6.9
51,6.9
52,6.9
1,7.8
2,7.8
3,7.8
4,7.8
5,7.8
6,7.8
7,7.8
8,7.8
9,7.8
10,7.8
11,7.8
12,7.8
13,7.8
14,7.8
15,7.8
16,7.8
17,7.8
18,7.8
19,7.8
20,7.8
21,7.8
22,7.8
23,7.8
24,7.8
25,7.8
26,7.8
27,7.8
28,7.8
29,7.8
30,7.8
31,7.8
32,7.8
33,7.8
34,7.8
35,7.8
36,7.8
37,7.8
38,7.8
39,7.8
40,7.8
41,7.8
42,7.8
43,7.8
44,7.8
45,7.8
46,7.8
47,7.8
48,7.8
49,7.8
50,7.8
51,7.8
52,7.8
49.875,9.7
49.875,10.7
49.875,11.7
49.875,12.7
49.875,13.7
50.85,9.7
50.85,10.7
50.85,11.7
50.85,12.7
50.85,13.7
51.825,9.7
51.825,10.7
51.825,11.7
51.825,12.7
51.825,13.7
45.975,9.7
45.975,10.7
45.975,11.7
45.975,12.7
45.975,13.7
46.95,9.7
46.95,10.7
46.95,11.7
46.95,12.7
46.95,13.7
47.925,9.7
47.925,10.7
47.925,11.7
47.925,12.7
47.925,13.7
42.075,9.7
42.075,10.7
42.075,11.7
42.075,12.7
42.075,13.7
43.05,9.7
43.05,10.7
43.05,11.7
43.05,12.7
43.05,13.7
44.025,9.7
44.025,10.7
44.025,11.7
44.025,12.7
44.025,13.7
38.175,9.7
38.175,10.7
38.175,11.7
38.175,12.7
38.175,13.7
39.15,9.7
39.15,10.7
39.15,11.7
39.15,12.7
39.15,13.7
40.125,9.7
40.125,10.7
40.125,11.7
40.125,12.7
40.125,13.7
34.275,9.7
